/ map preview coordinates -   ( w = 606   h = 312 )
/
/ sector00		
/ x1 y1 x1 y1 
/ x2 y2 x2 y2 
/ ...   
/ x8 0 y8 0
/


sector0
0 0      0 0
0 0      0 0
0 0      0 0
0 0      0 0
0 0      0 0
0 0      0 0
501 216  367 188
0 0      0 0

sector1
434 101  457 145
0 0      0 0
384 78   457 145
0 0      0 0
0 0      0 0
0 0      0 0
145 201  394 169
0 0      0 0

sector2
440 136  104 248
0 0      0 0
346 134  285 263
0 0      0 0
0 0      0 0
0 0      0 0
285 263  346 134
0 0      0 0

sector3
549 83   429 245
545 44   429 245
328 40   429 245
0 0      0 0
0 0      0 0
0 0      0 0
116 213  429 245
0 0      0 0

sector4
0 0      0 0
222 75   509 177
0 0      0 0
0 0      0 0
0 0      0 0
0 0      0 0
0 0      0 0
0 0      0 0

sector5
0 0      0 0
456 94   335 238
0 0      0 0
277 131  172 212
0 0      0 0
0 0      0 0
89 166   172 212
478 277  335 238

sector6
487 137  269 44
0 0      0 0
436 42   269 44
0 0      0 0
118 168  269 44
0 0      0 0
432 157  269 44
0 0      0 0

sector7
401 263  421 212
437 51   277 218
276 212  421 212
421 212  401 263
277 218  437 51
0 0      0 0
0 0      0 0
0 0      0 0

sector8
353 28   420 172
0 0      0 0
0 0      0 0
0 0      0 0
0 0      0 0
35 143   420 172
146 291  420 172
511 245  420 172

sector9
471 119  207 232
0 0      0 0
355 63   207 232
471 119  207 232
73 114   207 232
440 281  207 232
0 0      0 0
440 281  207 232

sector10
0 0      0 0
426 105  163 202
323 65   163 202
0 0      0 0
175 23   487 183
0 0      0 0
163 202  323 65
487 183  175 23

sector11
0 0      0 0
311 89   278 210
0 0      0 0
311 89   278 210
0 0      0 0
0 0      0 0
0 0      0 0
510 224  278 210

sector12
0 0      0 0
0 0      0 0
0 0      0 0
138 75   433 178
0 0      0 0
0 0      0 0
0 0      0 0
433 178  138 75

sector13
0 0      0 0
311 89   278 210
0 0      0 0
311 89   278 210
0 0      0 0
0 0      0 0
0 0      0 0
510 224  278 210

sector14
547 65   198 223
547 65   198 223
97 93    198 223
0 0      0 0
97 93    198 223
0 0      0 0
545 261  198 223
545 261  198 223

sector15
0 0      0 0
475 79   338 201
475 79   338 201
475 79   338 201
106 106  338 201
0 0      0 0
0 0      0 0
0 0      0 0

sector16
546 88   409 222
546 88   409 222
0 0      0 0
116 71   409 222
116 71   409 222
0 0      0 0
87 175   409 222
87 175   409 222

sector17
0 0      0 0
403 116  227 210
349 47   285 211
0 0      0 0
227 210  403 116
0 0      0 0
0 0      0 0
0 0      0 0

sector18
0 0      0 0
533 26   219 250
0 0      0 0
0 0      0 0
219 250  533 26
0 0      0 0
0 0      0 0
506 205  120 66

sector19
449 71   219 163
0 0      0 0
0 0      0 0
0 0      0 0
219 163  449 71
0 0      0 0
0 0      449 71
0 0      0 0

sector20
0 0      0 0
448 64   144 103
448 64   144 103
448 64   144 103
420 251  144 103
420 251  164 45
0 0      0 0
0 0      0 0

sector21
0 0      0 0
0 0      0 0
0 0      0 0
0 0      0 0
86 27    205 165
73 217   205 165
0 0      0 0
0 0      0 0

sector22
421 204  408 68
0 0      0 0
0 0      0 0
0 0      0 0
93 127   408 68
0 0      0 0
0 0      0 0
0 0      0 0

sector23
457 249  307 70
0 0      0 0
0 0      0 0
0 0      0 0
88 246   307 70
0 0      0 0
0 0      0 0
0 0      0 0


[END]



// skip line - "enter", "/ " , "// "


