//******************************
// Texts for Big Map Campaigns
//******************************

// Resource Names

StratRes0	Нет ресурсов
StratRes1	Еда
StratRes2	Золото
StratRes3	Железо
StratRes4	Уголь

ResName1	Дерево
ResName2	Еда
ResName3	Камень
ResName4	Золото
ResName5	Железо
ResName6	Уголь
ResName9	Рекруты

#CHINT_Res0	Дерево - добывается в любом секторе
#CHINT_Res1	Золото - добывается в любом секторе; основной ресурс в некоторых секторах
#CHINT_Res2	Камень - добывается в любом секторе
#CHINT_Res3	Еда - добывается в любом секторе; основной ресурс в некоторых секторах
#CHINT_Res4	Железо - добывается в любом секторе
#CHINT_Res5	Уголь - добывается в любом секторе
#CHINT_Res6	Рекруты - общее количество рекрутов в стране; доступны в каждом секторе

// end of Resources



///////////////////////////////////////
// TEXTS


#CWT_BigMapHead	ЗАВОЕВАНИЕ ЕВРОПЫ:  %s{C}

#CWV_WorldMap	Карта Европы
#CWV_Diplomacy	Дипломатия
#CWV_Personal	Командиры
#CWV_Messages	Сообщения
#CWV_Market		Рынок
#CWV_Briefing	Описание миссии

#CHINT_WorldMap	Карта Европы
#CHINT_Diplomacy	Меню дипломатии
#CHINT_Personal	Информация по командирам 
#CHINT_Messages	Список сообщений и статистика
#CHINT_Market	Рынок
#CHINT_Briefing	Описание миссии




#CWB_EndOfTurn	Конец хода
#CWB_Quit	Выйти из компании

#CWM_EndOfTurn	Вы действительно хотите завершить ход (военачальник еще может совершить ход)?
#CWM_Quit	Выйти из Кампании?

#CHINT_EndOfTurn Передать ход оппоненту ({CG}ENTER{C})
#CHINT_Quit	Вернуться ({CG}ESC{C})

#CHINT_ENTERKEY	 ({CG}ENTER{C})
#CHINT_ESCKEY	 ({CG}ESC{C})

#CWM_CSurrend	{CR}%s{C} готов сдаться и передать свои земли в ваше владение! Вы согласны?
#CWM_CSurrend2	Сектор {CR}%s{C} становится частью вашей страны.

#CWM_CountryDef	Нация соперника - {CR}%s{C} повержена! Европа скоро будет у ваших ног.
#CWM_TotalVict	{CR}Слава командиру!{C}\Все вражеские страны были повержены.\Европа у ваших ног!\{CR}Вы - победитель!{C}
#CWM_TotalLoose	Ваша армия была подавлена!\Вражеские войска оказались слишком сильными.\{CR}Поражение!{C}


#CWM_AttackSect	Начать наступление на сектор?

#CWM_NoArmy	У Вас нет армии! {CR}%s{C} не может атаковать! ({CR}Коммандиры{C})

#CWM_SectBattle0	Получено донесение:\ Сектор {CR}%s{C} оккупирован армией противника (Командующий - {CR}%s{C}).

#CWM_SectBattle1	Получено донесение:\ Сектор {CR}%s{C} атакован. Однако {CR}%s{C} не смог совладать с силами защитного гарнизона и был вынужден ретироваться.


                                      
#CWM_UpdateHeroRank	{CR}%s{C} получил новое воинское звание - {CR}%s{C}.

#CWM_HeroGetAward0	{CR}%s{C} награждается за доблесть в сражении \ (Награды: %d; опыт +%d). 
#CWM_HeroGetAward1	{CR}%s{C} награждается за необычайную тактическую смекалку \ (Награды: %d; опыт +%d). 
#CWM_HeroGetAward2	За победу в сражении {CR}%s{C} поощряется наградой \ (Награды: %d; опыт +%d). 
#CWM_HeroGetAward3	{CR}%s{C} получает орден за проведение успешного сражения \ (Награды: %d; опыт +%d).
#CWM_HeroGetAward4	За победу над соперником {CR}%s{C} получает награду \ (Награды: %d; опыт +%d).


#CWM_HeroCantMove	{CR}%s{C} не может совершить ход.\ Для передачи хода сопернику - нажмите {CR}Конец хода{C}.

#CWM_NoEnoughRes	У вас не хватает ресурсов, чтобы совершить задуманное\ (%s)!


#CDT_Area	Сектор:
#CDT_Country	Страна
#CDT_Villages	Селения
#CDT_PlayerName Игрок
#Vill	Селения:
#MainRes	Основной ресурс:
#Population#	Население:
#Mobilization#	Рекруты:
#Reinforce#	Укрепления
#Upgrade#	Улучшения

#CWT_PopltnLVL0 Мало
#CWT_PopltnLVL1 Средне
#CWT_PopltnLVL2 Много

#CHINT_SectIncomeRes	Ресурсы производимые в секторе за один ход

#Experience	Опыт:
#SquadsN	Отряды:

#CHINT_Next_Exp_Level	Опыт. Следующий уровень:
#CHINT_MaxExpLevel	Максимальный. Опыт.



#CWT_CurrentTurn	Текущий ход:
#CWT_NumOfSectors	Количество секторов:
#CWT_ResourSupply	Снабжение ресурсами:

#CWT_Quantity	Количество наград:


// for Sectors defence

#Defence# Защита сектора
#UpgradeDef#	Улучшить защиту
#CWM_UpgradeDef	Улучшить уровень защиты сектора\ (%s)?
#CHINT_UpgDef	Улучшить уровень защиты сектора

#CWT_DefenceLvl0 низкая
#CWT_DefenceLvl1 средняя
#CWT_DefenceLvl2 нормальная
#CWT_DefenceLvl3 высокая

#CHINT_DefenceSQN (%d отрядов в гарнизоне)
/#CHINT_DefenceSQN	(%d отрядов в гарнизоне)



// for Sabotage Sector

#CWB_Diversion	Диверсия в секторе
