NRES.DAT: Invalid sound for ALARM
Weapon.ads,line 204 :SOUND: Unknown sound:FIRE1
Could not find special animation:#SHAR
Could not find special animation:#SHARBUILD
UNITSMD\FRNOF,line 69 :SOUND: Unknown sound:TEST1
UNITSMD\FRNSAP,line 121 :SOUND: Unknown sound:RAB_STROIT
UNITSMD\ENGKRI,line 133 :SOUND: Unknown sound:MIS_PEH
UNITSMD\TEMPMENT,line 62 :SOUND: Unknown sound:SHOTFOGSTARTPISTOLSOUND
UNITSMD\RUSKRI,line 132 :SOUND: Unknown sound:MIS_PEH
UNITSMD\RUSPIO,line 96 :SOUND: Unknown sound:RAB_STROIT
UNITSMD\RUSDAMA,line 22 :SOUND: Unknown sound:SABRE1
UNITSMD\FRNDAMA,line 22 :SOUND: Unknown sound:SABRE1
UNITSMD\FRNDAMA2,line 22 :SOUND: Unknown sound:SABRE1
UNITSMD\FRNBARIN,line 24 :SOUND: Unknown sound:SABRE1
UNITSMD\FRNBARIN2,line 24 :SOUND: Unknown sound:SABRE1
UNITSMD\EGPEGR,line 61 :SOUND: Unknown sound:RUGIE1
UNITSMD\TURMEC,line 69 :SOUND: Unknown sound:MELE_ATACK_SWORD
UNITSMD\EGPKRI,line 136 :SOUND: Unknown sound:MIS_PEH
UNITSMD\ENGKGEN,line 82 :SOUND: Unknown sound:NOSOUND2
UNITSMD\ENGSAP,line 121 :SOUND: Unknown sound:RAB_STROIT
UNITSMD\SHPFREGAT,line 80 :SOUND: Unknown sound:Ship_sink
UNITSMD\SPNPAR,line 78 :SOUND: Unknown sound:SHOTFOGSTARTPISTOLSOUND
UNITSMD\TURMENT,line 72 :SOUND: Unknown sound:SHOTFOGSTARTPISTOLSOUND
UNITSMD\HGUDEATH,line 17 :SOUND: Unknown sound:SABRE1
UNITSMD\MISGREG,line 71 :SOUND: Unknown sound:MISPEH
UNITSMD\MISGREG,line 71 :SOUND: Unknown sound:MISPEH
UNITSMD\MISWIL,line 70 :SOUND: Unknown sound:MISPEH
UNITSMD\MISWIL,line 70 :SOUND: Unknown sound:MISPEH
UNITSMD\MISEBE,line 41 :SOUND: Unknown sound:MISPEH
UNITSMD\MISABR,line 40 :SOUND: Unknown sound:MISPEH
UNITSMD\MISHEM,line 70 :SOUND: Unknown sound:MISPEH
UNITSMD\MISHEM,line 70 :SOUND: Unknown sound:MISPEH
UNITSMD\MISEMI,line 37 :SOUND: Unknown sound:MISPEH
UNITSMD\MISEMI,line 37 :SOUND: Unknown sound:MISPEH
UNITSMD\MISFER,line 73 :SOUND: Unknown sound:MISPEH
UNITSMD\MISFER,line 73 :SOUND: Unknown sound:MISPEH
UNITSMD\MISTRI,line 138 :SOUND: Unknown sound:MISPEH
UNITSMD\MISTRI,line 138 :SOUND: Unknown sound:MISPEH
UNITSMD\MISWILD,line 132 :SOUND: Unknown sound:MISPEH
UNITSMD\MISWILD,line 132 :SOUND: Unknown sound:MISPEH
UNITSMD\PRUSAP,line 121 :SOUND: Unknown sound:RAB_STROIT
UNITSMD\AUSSAP,line 121 :SOUND: Unknown sound:RAB_STROIT
